case_id	label	outcome	lost_top5	gained_top5	000	001	010	011	100	101	110	111
provisional/SOULCAP:SC000001/Exact	Natural Killer Cell	unchanged	False	False	6	6	6	6	6	6	6	6
provisional/SOULCAP:SC000002/Exact	Natural Killer Cell 2	unchanged	False	False	1	1	1	1	1	1	1	1
provisional/SOULCAP:SC000003/Exact	Cytotoxice Natural Killer Cell	regressed	False	False	1	1	3	3	1	1	3	3
provisional/SOULCAP:SC000004/Broad	Natural Killer Cell 1	regressed	False	False	1	1	3	3	1	1	3	3
provisional/SOULCAP:SC000005/Broad	Natural Killer Cell 3	regressed	False	False	1	1	3	3	1	1	3	3
provisional/SOULCAP:SC000006/Broad	Innate Lymphoid Cell Progenitor	unchanged	False	False	3	3	3	3	3	3	3	3
provisional/SOULCAP:SC000007/Exact	Innate Lymphoid Cell	regressed	False	False	155	155	162	162	155	155	162	162
provisional/SOULCAP:SC000008/Exact	Innate Lymphoid Cell 1	regressed	False	False	161	161	171	171	161	161	171	171
provisional/SOULCAP:SC000009/Exact	Innate Lymphoid Cell 2	improved	False	False	26	26	25	25	26	26	25	25
provisional/SOULCAP:SC000010/Exact	Innate Lymphoid Cell 3	unchanged	False	False	118	118	118	118	118	118	118	118
provisional/SOULCAP:SC000011/Exact	Conventional Dendritic Cell	regressed	False	False	18	18	20	20	18	18	20	20
provisional/SOULCAP:SC000012/Exact	Conventional Dendritic Cell 1	unchanged	False	False	2	2	2	2	2	2	2	2
provisional/SOULCAP:SC000013/Exact	Conventional Dendritic Cell 2	unchanged	False	False	2	2	2	2	2	2	2	2
provisional/SOULCAP:SC000014/Exact	Peripheral Dendritic Cell	regressed	False	False	34	34	36	36	34	34	36	36
provisional/SOULCAP:SC000015/Exact	Basophil	improved	False	False	3	3	2	2	3	3	2	2
provisional/SOULCAP:SC000016/Exact	Basophil	unchanged	False	False	1	1	1	1	1	1	1	1
provisional/SOULCAP:SC000017/Exact	Monocyte	unchanged	False	False								
provisional/SOULCAP:SC000018/Exact	Classical Monocyte	unchanged	False	False								
provisional/SOULCAP:SC000019/Exact	Non-classical Monocyte	unchanged	False	False								
provisional/SOULCAP:SC000020/Exact	Intermediate Monocyte	unchanged	False	False								
provisional/SOULCAP:SC000021/Exact	Neutrophil	regressed	False	False	9	9	10	10	9	9	10	10
provisional/SOULCAP:SC000022/Exact	Eosinophil	unchanged	False	False	4	4	4	4	4	4	4	4
provisional/SOULCAP:SC000023/Exact	B cell	unchanged	False	False								
provisional/SOULCAP:SC000024/Exact	Antibody Secreting Cell	unchanged	False	False								
provisional/SOULCAP:SC000025/Exact	Plasmablast	unchanged	False	False	3	3	3	3	3	3	3	3
provisional/SOULCAP:SC000026/Exact	Plasma Cell	improved	False	False	31	31	6	6	31	31	6	6
provisional/SOULCAP:SC000028/Broad	Transitonal B cell 1 and 2	unchanged	False	False	1	1	1	1	1	1	1	1
provisional/SOULCAP:SC000029/Exact	Mature B cell	regressed	False	False	43	43	48	48	43	43	48	48
provisional/SOULCAP:SC000030/Exact	Transitional B cell 3	unchanged	False	False	20	20	20	20	20	20	20	20
provisional/SOULCAP:SC000031/Exact	Naive B cell	unchanged	False	False	5	5	5	5	5	5	5	5
provisional/SOULCAP:SC000032/Exact	Double Negative B cells	unchanged	False	False	5	5	5	5	5	5	5	5
provisional/SOULCAP:SC000033/Broad	Double Negative B cell 1	unchanged	False	False	12	12	12	12	12	12	12	12
