abbreviation	full_name	parent	type_of_match	existing_cl_id	marker_cl_id	marker_cl_label	marker_score	marker_conflict	marker_note	lexical_cl_id	lexical_cl_label	lexical_note	agreement
Tem	Effector memory T cell	T cell	Exact		CL:0001057	myeloid dendritic cell, human	15			CL:0000905	effector memory CD4-positive, alpha-beta T cell		no
CD4+ Tem	CD4+ effector memory alpha/beta and gamma/delta T cells	CD4+ T cell	Exact		CL:0001057	myeloid dendritic cell, human	15					no CL hits	no
CD4+ TCRab Tem	CD4+ effector memory alpha/beta T cell	CD4+ TCRab T cell	Exact		CL:0001057	myeloid dendritic cell, human	15			CL:0000905	effector memory CD4-positive, alpha-beta T cell		no
CD4+ TCRgd Tem	CD4+ effector memory gamma/delta T cell	CD4+ TCRgd T cell			CL:0001057	myeloid dendritic cell, human	15					no CL hits	no
CD8+ Tem	CD8+ effector memory T cell	CD8+ T cell	Exact		CL:0001057	myeloid dendritic cell, human	15			CL:0000913	effector memory CD8-positive, alpha-beta T cell		no
CD8+ TCRab Tem	CD8+  effector memory alpha/beta T cell	CD8+ TCRab T cell	Exact		CL:0001057	myeloid dendritic cell, human	15			CL:0000913	effector memory CD8-positive, alpha-beta T cell		no
CD8+ TCRgd Tem	CD8+ effector memory gamma/delta T cell	CD8+ TCRgd T cell			CL:0001057	myeloid dendritic cell, human	15					no CL hits	no
Temra	CD45RA+ effector memory alpha/beta and gamma/delta T cell	T cell	Exact		CL:0001057	myeloid dendritic cell, human	15					no CL hits	no
CD4+ Temra	CD4+ CD45RA+ effector memory alpha/beta and gamma/delta T cell	CD4+ T cell	Exact		CL:0001057	myeloid dendritic cell, human	15					no CL hits	no
CD4+ TCRab Temra	CD4+ CD45RA+ effector memory alpha/beta T cell	CD4 TCRab T cell	Exact		CL:0001057	myeloid dendritic cell, human	15			CL:4030002	effector memory CD45RA-positive, alpha-beta T cell, terminally differentiated		no
CD4+ TCRgd Temra	CD4+ CD45RA+ effector memory gamma/delta T cell	CD4+ TCRgd T cell			CL:0001057	myeloid dendritic cell, human	15					no CL hits	no
CD8+ Temra	CD8+ CD45RA+ effector memory alpha/beta and gamma/delta T cell	CD8+ T cell	Exact		CL:0001057	myeloid dendritic cell, human	15					no CL hits	no
CD8+ TCRab Temra	CD8+ CD45RA+ effector memory alpha/beta T cell	CD8+ TCRab T cell	Exact		CL:0001057	myeloid dendritic cell, human	15			CL:0000913	effector memory CD8-positive, alpha-beta T cell		no
T helper		TCRab			CL:0002468	Gr1-low myeloid suppressor cell	6			CL:0000492	CD4-positive helper T cell		no
T cytotoxic		TCRab			CL:0001057	myeloid dendritic cell, human	14			CL:0000794	CD8-positive, alpha-beta cytotoxic T cell		no
ConT Treg-like		CD4 ConT			CL:0000896	activated CD4-positive, alpha-beta T cell	13			CL:0000815	regulatory T cell		no
ConT Tfh-like		CD4 ConT			CL:0000896	activated CD4-positive, alpha-beta T cell	13			CL:0000492	CD4-positive helper T cell		no
Th1-like		CD4 ConT			CL:0000896	activated CD4-positive, alpha-beta T cell	13			CL:0000492	CD4-positive helper T cell		no
Th2-like		CD4 ConT			CL:0000896	activated CD4-positive, alpha-beta T cell	13			CL:0000546	T-helper 2 cell		no
Th9-like					CL:0000546	T-helper 2 cell	12					no CL hits	no
Th17-like		CD4 ConT			CL:0000896	activated CD4-positive, alpha-beta T cell	13			CL:0000492	CD4-positive helper T cell		no
CD4 PanT helper		CD4/CD8 PanT			CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	13					no CL hits	no
Th1-like			Surface Only		CL:0000545	T-helper 1 cell	16			CL:0000492	CD4-positive helper T cell		no
Th2-like					CL:0000546	T-helper 2 cell	16			CL:0000546	T-helper 2 cell		yes
Th9-like					CL:0000546	T-helper 2 cell	16					no CL hits	no
Th17-like					CL:0000899	T-helper 17 cell	16			CL:0000492	CD4-positive helper T cell		no
Tfh					CL:0001057	myeloid dendritic cell, human	14			CL:0000917	Tc1 cell		no
CD4 PanT Treg		CD4/CD8 PanT			CL:0000896	activated CD4-positive, alpha-beta T cell	17					no CL hits	no
Vg9 Vd2		TCRgd			CL:0002468	Gr1-low myeloid suppressor cell	6					no CL hits	no
Vd2		TCRgd			CL:0002468	Gr1-low myeloid suppressor cell	6					no CL hits	no
Vd3		TCRgd			CL:0002468	Gr1-low myeloid suppressor cell	6					no CL hits	no
Vg9 Vd1					CL:0002468	Gr1-low myeloid suppressor cell	6					no CL hits	no
Vd1		TCRgd			CL:0002468	Gr1-low myeloid suppressor cell	6					no CL hits	no
Vg9		TCRgd			CL:0002468	Gr1-low myeloid suppressor cell	6					no CL hits	no
